st_code,cfra_code,major_head,year,vol,amt
27,205980911,2059,2006,3,-13.43
33,240100911,2401,2005,2,-13.34
40,220202911,2202,2005,3,-13.24
11,205980799,2059,2006,3,-12.89
10,222502911,2225,2006,3,-12.65
11,207000911,2070,2006,3,-12.45
11,201300911,2013,2006,3,-12.43
32,220280911,2202,2005,3,-12.18
13,205500004,2055,2006,3,-12.16
40,221001911,2210,2005,3,-12
29,240601911,2406,2005,2,-11.78
34,222501911,2225,2006,3,-11.62
32,347500911,3475,2005,2,-11.61
27,223560911,2235,2006,3,-11.57
10,305480799,3054,2006,2,-11.47
30,220202911,2202,2005,3,-11.17
30,221501052,2215,2006,3,-11.16
32,345402911,3454,2005,2,-11.07
34,240100911,2401,2005,2,-10.92
29,305401799,3054,2005,2,-10.88
40,280104911,2801,2005,2,-10.83
21,305401799,3054,2005,2,-10.67
17,221501799,2215,2005,3,-10.52
30,207101911,2071,2006,3,-10.51
33,285280911,2852,2006,2,-10.3
27,220202911,2202,2005,3,-10.19
34,221001911,2210,2005,3,-10.17
34,221501911,2215,2006,3,-10.01
21,240802911,2408,2006,2,-10
28,223502911,2235,2006,3,-9.7
27,240100911,2401,2006,2,-9.54
34,221603911,2216,2005,3,-9.52
10,201500911,2015,2006,3,-9.41
32,221100911,2211,2006,3,-9.41
32,224502911,2245,2006,3,-9.39
33,205200911,2052,2006,3,-9.17
21,223502900,2235,2006,3,-9.13
34,221680911,2216,2005,3,-8.99
32,223602911,2236,2005,3,-8.8
28,201500104,2015,2005,3,-8.58
33,305480799,3054,2006,2,-8.54
32,220400911,2204,2005,3,-8.49
30,251500911,2515,2006,2,-8.32
27,225000911,2250,2005,3,-8.31
16,270280799,2702,2005,2,-8.27
21,205500911,2055,2006,3,-8.22
27,205600911,2056,2005,3,-8.21
33,345402800,3454,2005,2,-8.19
32,203003911,2030,2006,3,-7.89
33,220280911,2202,2006,3,-7.8
19,222580797,2225,2006,3,-7.74
10,205200911,2052,2005,3,-7.72
30,205500911,2055,2006,3,-7.7
30,220300911,2203,2006,3,-7.69
40,223003911,2230,2006,3,-7.61
40,345100911,3451,2006,2,-7.6
34,221701911,2217,2006,3,-7.57
32,205600911,2056,2006,3,-7.53
34,224502911,2245,2006,3,-7.52
30,220500911,2205,2005,3,-7.41
34,221703911,2217,2006,3,-7.35
40,305102911,3051,2006,2,-7.27
30,345201911,3452,2005,2,-7.12
30,221780911,2217,2005,3,-7.09
34,285100911,2851,2005,2,-7
40,240500911,2405,2006,2,-6.99
10,240100911,2401,2006,2,-6.98
32,345100911,3451,2006,2,-6.78
33,223001911,2230,2005,3,-6.78
34,251500911,2515,2006,2,-6.77
27,240100911,2401,2005,2,-6.73
12,240802101,2408,2005,2,-6.67
21,305401799,3054,2006,2,-6.67
40,345100911,3451,2005,2,-6.39
32,201500911,2015,2006,3,-6.39
30,221501052,2215,2005,3,-6.38
27,240500911,2405,2006,2,-6.31
32,220300911,2203,2006,3,-6.16
33,288501800,2885,2005,2,-6.1
10,221003911,2210,2006,3,-6.05
32,205980911,2059,2005,3,-5.94
32,240801911,2408,2005,2,-5.8
33,224502113,2245,2006,3,-5.78
8,240100196,2401,2005,2,-5.76
33,222060911,2220,2005,3,-5.74
27,251500911,2515,2006,2,-5.57
13,280105052,2801,2005,2,-5.55
33,224501911,2245,2006,3,-5.51
18,224580800,2245,2006,3,-5.5
32,205600911,2056,2005,3,-5.49
19,271103799,2711,2005,2,-5.42
28,240500911,2405,2006,2,-5.4
30,345201911,3452,2006,2,-5.21
33,204901911,2049,2005,3,-5.2
30,305600911,3056,2005,2,-5.13
34,240100911,2401,2006,2,-5.12
10,251500799,2515,2006,2,-5
34,285100911,2851,2006,2,-4.94
30,221780911,2217,2006,3,-4.93
40,201500911,2015,2005,3,-4.89
40,347500911,3475,2005,2,-4.89
28,224502116,2245,2005,3,-4.89
32,207500911,2075,2006,3,-4.89
32,207500911,2075,2005,3,-4.8
34,305480911,3054,2005,2,-4.78
33,285302911,2853,2006,2,-4.76
40,220280911,2202,2005,3,-4.6
34,241501911,2415,2005,2,-4.6
32,220205911,2202,2005,3,-4.59
33,255101911,2551,2005,2,-4.58
32,203900911,2039,2006,3,-4.57
27,223001911,2230,2006,3,-4.54
11,205500911,2055,2006,3,-4.52
32,221006911,2210,2006,3,-4.47
10,220500911,2205,2006,3,-4.4
27,221780911,2217,2005,3,-4.29
40,343503911,3435,2006,2,-4.26
27,205600911,2056,2006,3,-4.25
34,220202911,2202,2006,3,-4.24
27,280101799,2801,2006,2,-4.15
40,343560911,3435,2006,2,-4.09
11,220201911,2202,2006,3,-4.08
1,205800799,2058,2005,3,-4.03
30,205500911,2055,2005,3,-4.02
27,242500911,2425,2006,2,-4.02
32,223003911,2230,2006,3,-4
33,223602911,2236,2005,3,-4
40,240801911,2408,2006,2,-3.99
34,224502911,2245,2005,3,-3.96
21,221701911,2217,2006,3,-3.96
34,221001911,2210,2006,3,-3.85
30,220400911,2204,2006,3,-3.56
30,220300911,2203,2005,3,-3.55
32,204700911,2047,2006,3,-3.54
34,220280911,2202,2005,3,-3.48
28,223560911,2235,2005,3,-3.47
32,270280052,2702,2005,2,-3.46
1,270280799,2702,2005,2,-3.42
1,221501799,2215,2005,3,-3.36
32,220300911,2203,2005,3,-3.32
34,220202911,2202,2005,3,-3.3
27,242500911,2425,2005,2,-3.29
10,207101911,2071,2006,3,-3.28
18,271101799,2711,2005,2,-3.27
30,221001911,2210,2006,3,-3.16
40,224502911,2245,2005,3,-3.15
32,221080911,2210,2006,3,-3.12
34,220201911,2202,2005,3,-3.04
32,204100911,2041,2005,3,-3.03
32,221002911,2210,2006,3,-3.02
34,221704911,2217,2006,3,-3
32,220500911,2205,2005,3,-3
40,221003911,2210,2006,3,-2.93
40,222001911,2220,2006,3,-2.92
32,204000911,2040,2006,3,-2.89
32,201400911,2014,2006,3,-2.89
30,205400911,2054,2006,3,-2.82
3,221501052,2215,2006,3,-2.79
27,221001911,2210,2006,3,-2.77
30,220201911,2202,2005,3,-2.76
21,223003911,2230,2006,3,-2.75
40,204700911,2047,2005,3,-2.69
32,205400911,2054,2006,3,-2.67
34,221703911,2217,2005,3,-2.65
32,241501911,2415,2006,2,-2.64
27,204500911,2045,2006,3,-2.63
32,205300911,2053,2006,3,-2.6
10,205500911,2055,2006,3,-2.59
40,221001911,2210,2006,3,-2.55
34,220400911,2204,2006,3,-2.54
32,250600911,2506,2005,2,-2.51
30,220201911,2202,2006,3,-2.47
27,270180911,2701,2005,2,-2.47
32,207101911,2071,2006,3,-2.46
30,221080911,2210,2006,3,-2.43
32,305102911,3051,2005,2,-2.41
34,220201911,2202,2006,3,-2.4
7,220205103,2202,2006,3,-2.4
33,221603102,2216,2006,3,-2.39
11,207000911,2070,2005,3,-2.34
30,223502911,2235,2006,3,-2.33
11,205500911,2055,2005,3,-2.33
30,220500911,2205,2006,3,-2.32
